P,T,v,u,h,s
0.006117,0.01,206,2374.9,2500.9,9.155
0.006117,20,221.1,2403.1,2538.4,9.288
0.006117,40,236.2,2431.3,2575.8,9.411
0.006117,60,251.3,2459.5,2613.3,9.527
0.006117,80,266.4,2487.9,2650.8,9.637
0.006117,100,281.5,2516.4,2688.6,9.741
0.006117,120,296.6,2545,2726.5,9.84
0.006117,140,311.7,2573.9,2764.6,9.934
0.006117,160,326.8,2602.9,2802.8,10.02
0.006117,180,341.9,2632.2,2841.3,10.11
0.006117,200,357,2661.6,2880,10.2
0.006117,220,372.1,2691.3,2918.9,10.28
0.006117,240,387.2,2721.3,2958.1,10.35
0.006117,260,402.3,2751.4,2997.5,10.43
0.006117,280,417.4,2781.8,3037.1,10.5
0.006117,300,432.5,2812.4,3077,10.57
0.006117,320,447.6,2843.3,3117.1,10.64
0.006117,340,462.6,2874.5,3157.4,10.71
0.006117,360,477.7,2905.9,3198.1,10.77
0.006117,380,492.8,2937.5,3238.9,10.84
0.006117,400,507.9,2969.4,3280.1,10.9
0.006117,420,523,3001.6,3321.5,10.96
0.006117,440,538.1,3034,3363.2,11.02
0.006117,460,553.2,3066.7,3405.1,11.08
0.006117,480,568.3,3099.7,3447.3,11.13
0.006117,500,583.4,3132.9,3489.8,11.19
0.006117,520,598.5,3166.5,3532.5,11.24
0.006117,540,613.6,3200.3,3575.6,11.3
0.006117,560,628.7,3234.4,3618.9,11.35
0.006117,580,643.7,3268.7,3662.5,11.4
0.006117,600,658.8,3303.4,3706.3,11.45
0.006117,640,689,3373.5,3794.9,11.55
0.006117,680,719.2,3444.8,3884.7,11.65
0.006117,720,749.4,3517.2,3975.5,11.74
0.006117,760,779.6,3590.7,4067.5,11.83
0.006117,800,809.7,3665.4,4160.7,11.92
0.01,0.01,0.001,0.000007,0.001007,0
0.01,20,135.2,2403,2538.2,9.06
0.01,40,144.5,2431.2,2575.7,9.184
0.01,60,153.7,2459.5,2613.2,9.3
0.01,80,163,2487.8,2650.8,9.41
0.01,100,172.2,2516.3,2688.5,9.514
0.01,120,181.4,2545,2726.4,9.613
0.01,140,190.7,2573.9,2764.5,9.707
0.01,160,199.9,2602.9,2802.8,9.798
0.01,180,209.1,2632.2,2841.3,9.885
0.01,200,218.4,2661.6,2880,9.968
0.01,220,227.6,2691.3,2918.9,10.05
0.01,240,236.8,2721.2,2958.1,10.13
0.01,260,246.1,2751.4,2997.5,10.2
0.01,280,255.3,2781.8,3037.1,10.27
0.01,300,264.5,2812.4,3077,10.35
0.01,320,273.7,2843.3,3117.1,10.41
0.01,340,283,2874.5,3157.4,10.48
0.01,360,292.2,2905.8,3198.1,10.55
0.01,380,301.4,2937.5,3238.9,10.61
0.01,400,310.7,2969.4,3280.1,10.67
0.01,420,319.9,3001.6,3321.5,10.73
0.01,440,329.1,3034,3363.1,10.79
0.01,460,338.4,3066.7,3405.1,10.85
0.01,480,347.6,3099.7,3447.3,10.91
0.01,500,356.8,3132.9,3489.8,10.96
0.01,520,366.1,3166.5,3532.5,11.02
0.01,540,375.3,3200.3,3575.6,11.07
0.01,560,384.5,3234.4,3618.9,11.12
0.01,580,393.7,3268.7,3662.5,11.18
0.01,600,403,3303.4,3706.3,11.23
0.01,640,421.4,3373.5,3794.9,11.33
0.01,680,439.9,3444.8,3884.7,11.42
0.01,720,458.4,3517.2,3975.5,11.51
0.01,760,476.8,3590.7,4067.5,11.61
0.01,800,495.3,3665.4,4160.7,11.69
0.05,0.01,0.001,0.000081,0.005082,0
0.05,20,0.001002,83.92,83.92,0.2965
0.05,40,28.85,2430.1,2574.4,8.438
0.05,60,30.71,2458.7,2612.3,8.555
0.05,80,32.57,2487.3,2650.1,8.666
0.05,100,34.42,2516,2688,8.77
0.05,120,36.27,2544.7,2726.1,8.869
0.05,140,38.12,2573.6,2764.2,8.964
0.05,160,39.97,2602.7,2802.6,9.055
0.05,180,41.82,2632,2841.1,9.141
0.05,200,43.66,2661.5,2879.8,9.225
0.05,220,45.51,2691.2,2918.8,9.306
0.05,240,47.36,2721.1,2957.9,9.384
0.05,260,49.2,2751.3,2997.3,9.459
0.05,280,51.05,2781.7,3037,9.532
0.05,300,52.9,2812.4,3076.9,9.603
0.05,320,54.75,2843.3,3117,9.672
0.05,340,56.59,2874.4,3157.4,9.738
0.05,360,58.44,2905.8,3198,9.804
0.05,380,60.28,2937.4,3238.9,9.867
0.05,400,62.13,2969.4,3280,9.929
0.05,420,63.98,3001.5,3321.4,9.99
0.05,440,65.82,3034,3363.1,10.05
0.05,460,67.67,3066.7,3405,10.11
0.05,480,69.52,3099.7,3447.2,10.16
0.05,500,71.36,3132.9,3489.7,10.22
0.05,520,73.21,3166.4,3532.5,10.27
0.05,540,75.06,3200.2,3575.5,10.33
0.05,560,76.9,3234.3,3618.8,10.38
0.05,580,78.75,3268.7,3662.4,10.43
0.05,600,80.59,3303.3,3706.3,10.48
0.05,640,84.29,3373.5,3794.9,10.58
0.05,680,87.98,3444.7,3884.6,10.68
0.05,720,91.67,3517.2,3975.5,10.77
0.05,760,95.36,3590.7,4067.5,10.86
0.05,800,99.06,3665.4,4160.6,10.95
0.1,0.01,0.001,0.000174,0.01018,0.000001
0.1,20,0.001002,83.92,83.93,0.2965
0.1,40,0.001008,167.5,167.5,0.5724
0.1,60,15.34,2457.8,2611.2,8.233
0.1,80,16.27,2486.7,2649.3,8.344
0.1,100,17.2,2515.5,2687.4,8.449
0.1,120,18.12,2544.3,2725.6,8.548
0.1,140,19.05,2573.3,2763.8,8.643
0.1,160,19.98,2602.5,2802.2,8.734
0.1,180,20.9,2631.8,2840.8,8.821
0.1,200,21.83,2661.3,2879.6,8.905
0.1,220,22.75,2691.1,2918.6,8.986
0.1,240,23.67,2721,2957.8,9.063
0.1,260,24.6,2751.2,2997.2,9.139
0.1,280,25.52,2781.6,3036.8,9.212
0.1,300,26.45,2812.3,3076.7,9.283
0.1,320,27.37,2843.2,3116.9,9.351
0.1,340,28.29,2874.3,3157.3,9.418
0.1,360,29.22,2905.7,3197.9,9.484
0.1,380,30.14,2937.4,3238.8,9.547
0.1,400,31.06,2969.3,3279.9,9.609
0.1,420,31.99,3001.5,3321.3,9.67
0.1,440,32.91,3033.9,3363,9.729
0.1,460,33.83,3066.6,3405,9.787
0.1,480,34.76,3099.6,3447.2,9.844
0.1,500,35.68,3132.9,3489.7,9.9
0.1,520,36.6,3166.4,3532.4,9.954
0.1,540,37.53,3200.2,3575.5,10.01
0.1,560,38.45,3234.3,3618.8,10.06
0.1,580,39.37,3268.7,3662.4,10.11
0.1,600,40.3,3303.3,3706.3,10.16
0.1,640,42.14,3373.4,3794.9,10.26
0.1,680,43.99,3444.7,3884.6,10.36
0.1,720,45.84,3517.1,3975.5,10.45
0.1,760,47.68,3590.7,4067.5,10.54
0.1,800,49.53,3665.3,4160.6,10.63
0.2,0.01,0.001,0.00036,0.02036,0
0.2,20,0.001002,83.92,83.94,0.296
0.2,40,0.001008,167.5,167.6,0.572
0.2,60,0.001017,251.1,251.2,0.831
0.2,80,8.118,2485.3,2647.7,8.02
0.2,100,8.586,2514.5,2686.2,8.126
0.2,120,9.052,2543.6,2724.6,8.227
0.2,140,9.517,2572.7,2763.1,8.322
0.2,160,9.98,2602,2801.6,8.413
0.2,180,10.44,2631.4,2840.3,8.5
0.2,200,10.91,2661,2879.1,8.584
0.2,220,11.37,2690.8,2918.2,8.665
0.2,240,11.83,2720.8,2957.4,8.743
0.2,260,12.3,2751,2996.9,8.818
0.2,280,12.76,2781.4,3036.6,8.892
0.2,300,13.22,2812.1,3076.5,8.962
0.2,320,13.68,2843,3116.7,9.031
0.2,340,14.14,2874.2,3157.1,9.098
0.2,360,14.61,2905.6,3197.7,9.164
0.2,380,15.07,2937.3,3238.6,9.227
0.2,400,15.53,2969.2,3279.8,9.289
0.2,420,15.99,3001.4,3321.2,9.35
0.2,440,16.45,3033.8,3362.9,9.409
0.2,460,16.92,3066.5,3404.8,9.467
0.2,480,17.38,3099.5,3447.1,9.524
0.2,500,17.84,3132.8,3489.6,9.58
0.2,520,18.3,3166.3,3532.3,9.634
0.2,540,18.76,3200.1,3575.4,9.688
0.2,560,19.22,3234.2,3618.7,9.741
0.2,580,19.69,3268.6,3662.3,9.792
0.2,600,20.15,3303.2,3706.2,9.843
0.2,640,21.07,3373.4,3794.8,9.942
0.2,680,21.99,3444.7,3884.6,10.04
0.2,720,22.92,3517.1,3975.4,10.13
0.2,760,23.84,3590.6,4067.4,10.22
0.2,800,24.76,3665.3,4160.6,10.31
0.5,0.01,0.001,0.000915,0.05092,0
0.5,20,0.001002,83.91,83.96,0.2965
0.5,40,0.001008,167.5,167.6,0.5724
0.5,60,0.001017,251.1,251.2,0.8312
0.5,80,0.001029,334.9,335,1.075
0.5,100,3.419,2511.5,2682.4,7.695
0.5,120,3.608,2541.3,2721.7,7.798
0.5,140,3.796,2570.9,2760.7,7.895
0.5,160,3.983,2600.5,2799.7,7.987
0.5,180,4.17,2630.2,2838.7,8.075
0.5,200,4.356,2660,2877.8,8.159
0.5,220,4.542,2689.9,2917,8.24
0.5,240,4.728,2720,2956.4,8.319
0.5,260,4.913,2750.3,2996,8.394
0.5,280,5.099,2780.8,3035.8,8.468
0.5,300,5.284,2811.6,3075.8,8.539
0.5,320,5.469,2842.5,3116,8.608
0.5,340,5.654,2873.7,3156.5,8.675
0.5,360,5.84,2905.2,3197.2,8.74
0.5,380,6.025,2936.9,3238.1,8.804
0.5,400,6.209,2968.8,3279.3,8.866
0.5,420,6.394,3001.1,3320.8,8.927
0.5,440,6.579,3033.5,3362.5,8.986
0.5,460,6.764,3066.3,3404.5,9.044
0.5,480,6.949,3099.3,3446.7,9.101
0.5,500,7.134,3132.6,3489.2,9.156
0.5,520,7.319,3166.1,3532,9.211
0.5,540,7.503,3199.9,3575.1,9.265
0.5,560,7.688,3234,3618.4,9.317
0.5,580,7.873,3268.4,3662.1,9.369
0.5,600,8.058,3303.1,3706,9.42
0.5,640,8.427,3373.2,3794.6,9.519
0.5,680,8.797,3444.5,3884.4,9.615
0.5,720,9.166,3517,3975.3,9.709
0.5,760,9.535,3590.5,4067.3,9.8
0.5,800,9.905,3665.2,4160.4,9.888
1,0.01,0.001,0.001841,0.1019,0.00001
1,20,0.001002,83.91,84.01,0.2965
1,40,0.001008,167.5,167.6,0.5724
1,60,0.001017,251.1,251.2,0.8312
1,80,0.001029,334.9,335,1.075
1,100,1.696,2506.2,2675.8,7.361
1,120,1.793,2537.3,2716.6,7.468
1,140,1.889,2567.8,2756.7,7.567
1,160,1.984,2598,2796.4,7.661
1,180,2.079,2628.1,2836,7.75
1,200,2.172,2658.2,2875.5,7.836
1,220,2.266,2688.4,2915,7.917
1,240,2.36,2718.7,2954.7,7.996
1,260,2.453,2749.2,2994.4,8.072
1,280,2.546,2779.8,3034.4,8.146
1,300,2.639,2810.7,3074.5,8.217
1,320,2.732,2841.7,3114.9,8.286
1,340,2.825,2873,3155.5,8.354
1,360,2.917,2904.5,3196.2,8.419
1,380,3.01,2936.3,3237.3,8.483
1,400,3.103,2968.3,3278.5,8.545
1,420,3.195,3000.5,3320.1,8.606
1,440,3.288,3033,3361.8,8.665
1,460,3.381,3065.8,3403.9,8.723
1,480,3.473,3098.8,3446.2,8.78
1,500,3.566,3132.2,3488.7,8.836
1,520,3.658,3165.7,3531.5,8.891
1,540,3.751,3199.6,3574.6,8.944
1,560,3.843,3233.7,3618,8.997
1,580,3.936,3268.1,3661.6,9.049
1,600,4.028,3302.8,3705.6,9.1
1,640,4.213,3373,3794.3,9.199
1,680,4.398,3444.3,3884.1,9.295
1,720,4.582,3516.7,3975,9.389
1,760,4.767,3590.3,4067,9.48
1,800,4.952,3665,4160.2,9.568
1.01325,0.01,0.001,0.001865,0.1032,0.00001
1.01325,20,0.001002,83.91,84.01,0.2965
1.01325,40,0.001008,167.5,167.6,0.5724
1.01325,60,0.001017,251.1,251.2,0.8312
1.01325,80,0.001029,334.9,335,1.075
1.01325,100,1.673,2506,2675.6,7.355
1.01325,120,1.77,2537.2,2716.5,7.461
1.01325,140,1.864,2567.7,2756.6,7.561
1.01325,160,1.958,2597.9,2796.3,7.655
1.01325,180,2.051,2628.1,2835.9,7.744
1.01325,200,2.144,2658.2,2875.4,7.829
1.01325,220,2.236,2688.4,2915,7.911
1.01325,240,2.329,2718.7,2954.6,7.99
1.01325,260,2.421,2749.1,2994.4,8.066
1.01325,280,2.512,2779.8,3034.4,8.14
1.01325,300,2.604,2810.6,3074.5,8.211
1.01325,320,2.696,2841.7,3114.9,8.28
1.01325,340,2.788,2873,3155.4,8.347
1.01325,360,2.879,2904.5,3196.2,8.413
1.01325,380,2.971,2936.2,3237.2,8.477
1.01325,400,3.062,2968.3,3278.5,8.539
1.01325,420,3.154,3000.5,3320,8.6
1.01325,440,3.245,3033,3361.8,8.659
1.01325,460,3.336,3065.8,3403.8,8.717
1.01325,480,3.428,3098.8,3446.1,8.774
1.01325,500,3.519,3132.1,3488.7,8.83
1.01325,520,3.61,3165.7,3531.5,8.885
1.01325,540,3.701,3199.6,3574.6,8.938
1.01325,560,3.793,3233.7,3618,8.991
1.01325,580,3.884,3268.1,3661.6,9.043
1.01325,600,3.975,3302.8,3705.6,9.094
1.01325,640,4.158,3373,3794.2,9.193
1.01325,680,4.34,3444.3,3884.1,9.289
1.01325,720,4.522,3516.7,3975,9.383
1.01325,760,4.705,3590.3,4067,9.474
1.01325,800,4.887,3665,4160.2,9.562
2,0.01,0.001,0.003688,0.2037,0.00001
2,20,0.001002,83.91,84.11,0.2965
2,40,0.001008,167.5,167.7,0.5724
2,60,0.001017,251.1,251.3,0.8311
2,80,0.001029,334.9,335.1,1.075
2,100,0.001043,419,419.2,1.307
2,120,0.00106,503.6,503.8,1.528
2,140,0.9353,2561.3,2748.3,7.231
2,160,0.9843,2592.8,2789.7,7.329
2,180,1.033,2623.9,2830.4,7.421
2,200,1.081,2654.7,2870.8,7.508
2,220,1.128,2685.4,2911,7.591
2,240,1.175,2716.1,2951.2,7.671
2,260,1.222,2746.9,2991.4,7.748
2,280,1.269,2777.8,3031.7,7.822
2,300,1.316,2808.8,3072.1,7.894
2,320,1.363,2840.1,3112.7,7.964
2,340,1.41,2871.5,3153.4,8.031
2,360,1.456,2903.1,3194.4,8.097
2,380,1.503,2935,3235.6,8.161
2,400,1.549,2967.1,3277,8.223
2,420,1.596,2999.5,3318.6,8.284
2,440,1.642,3032,3360.5,8.344
2,460,1.689,3064.9,3402.6,8.402
2,480,1.735,3098,3445,8.459
2,500,1.781,3131.3,3487.6,8.515
2,520,1.828,3165,3530.5,8.57
2,540,1.874,3198.9,3573.7,8.624
2,560,1.92,3233,3617.1,8.676
2,580,1.967,3267.5,3660.8,8.728
2,600,2.013,3302.2,3704.8,8.779
2,640,2.106,3372.4,3793.6,8.879
2,680,2.198,3443.8,3883.4,8.975
2,720,2.291,3516.3,3974.4,9.068
2,760,2.383,3589.9,4066.5,9.159
2,800,2.476,3664.7,4159.8,9.248
4,0.01,0.001,0.007365,0.4074,0.00003
4,20,0.001002,83.89,84.29,0.2964
4,40,0.001008,167.5,167.9,0.5723
4,60,0.001017,251.1,251.5,0.831
4,80,0.001029,334.8,335.2,1.075
4,100,0.001043,418.9,419.3,1.307
4,120,0.00106,503.5,503.9,1.528
4,140,0.00108,588.8,589.2,1.739
4,160,0.4839,2581.6,2775.2,6.983
4,180,0.5094,2614.9,2818.6,7.081
4,200,0.5343,2647.3,2861,7.172
4,220,0.5589,2679.1,2902.7,7.259
4,240,0.5831,2710.7,2944,7.341
4,260,0.6072,2742.2,2985.1,7.419
4,280,0.6311,2773.7,3026.1,7.495
4,300,0.6549,2805.2,3067.1,7.568
4,320,0.6786,2836.8,3108.2,7.638
4,340,0.7022,2868.5,3149.4,7.706
4,360,0.7257,2900.4,3190.7,7.773
4,380,0.7492,2932.5,3232.2,7.837
4,400,0.7726,2964.8,3273.9,7.9
4,420,0.796,2997.3,3315.7,7.961
4,440,0.8194,3030.1,3357.8,8.021
4,460,0.8428,3063,3400.1,8.08
4,480,0.8661,3096.3,3442.7,8.137
4,500,0.8894,3129.7,3485.5,8.193
4,520,0.9126,3163.5,3528.5,8.248
4,540,0.9359,3197.5,3571.8,8.302
4,560,0.9591,3231.7,3615.4,8.355
4,580,0.9824,3266.2,3659.2,8.407
4,600,1.006,3301,3703.2,8.458
4,640,1.052,3371.4,3792.2,8.558
4,680,1.098,3442.9,3882.2,8.654
4,720,1.145,3515.4,3973.3,8.748
4,760,1.191,3589.1,4065.5,8.839
4,800,1.237,3663.9,4158.9,8.927
6,0.01,0.001,0.011,0.611,0.00004
6,20,0.001002,83.88,84.48,0.2964
6,40,0.001008,167.5,168.1,0.5722
6,60,0.001017,251,251.6,0.8309
6,80,0.001029,334.8,335.4,1.075
6,100,0.001043,418.8,419.5,1.307
6,120,0.00106,503.4,504.1,1.527
6,140,0.00108,588.7,589.4,1.739
6,160,0.3167,2569,2759,6.766
6,180,0.3347,2605.2,2806,6.872
6,200,0.3521,2639.4,2850.7,6.968
6,220,0.369,2672.6,2894,7.058
6,240,0.3857,2705.2,2936.6,7.143
6,260,0.4021,2737.4,2978.6,7.223
6,280,0.4183,2769.4,3020.4,7.3
6,300,0.4344,2801.4,3062.1,7.374
6,320,0.4504,2833.4,3103.7,7.445
6,340,0.4663,2865.5,3145.3,7.514
6,360,0.4822,2897.6,3187,7.581
6,380,0.498,2930,3228.8,7.646
6,400,0.5137,2962.5,3270.7,7.71
6,420,0.5294,2995.2,3312.8,7.771
6,440,0.5451,3028.1,3355.1,7.831
6,460,0.5608,3061.2,3397.7,7.89
6,480,0.5764,3094.5,3440.4,7.948
6,500,0.592,3128.1,3483.3,8.004
6,520,0.6076,3162,3526.5,8.059
6,540,0.6232,3196,3569.9,8.113
6,560,0.6387,3230.4,3613.6,8.166
6,580,0.6542,3265,3657.5,8.218
6,600,0.6698,3299.8,3701.7,8.269
6,640,0.7008,3370.3,3790.8,8.369
6,680,0.7318,3441.9,3881,8.466
6,720,0.7627,3514.6,3972.2,8.56
6,760,0.7937,3588.3,4064.5,8.651
6,800,0.8246,3663.2,4157.9,8.739
8,0.01,0.001,0.0147,0.8145,0.00005
8,20,0.001001,83.87,84.67,0.2963
8,40,0.001008,167.4,168.2,0.5721
8,60,0.001017,251,251.8,0.8308
8,80,0.001029,334.7,335.5,1.075
8,100,0.001043,418.8,419.6,1.306
8,120,0.00106,503.4,504.2,1.527
8,140,0.001079,588.6,589.5,1.739
8,160,0.001102,674.8,675.7,1.943
8,180,0.2472,2594.7,2792.4,6.715
8,200,0.2609,2631.1,2839.8,6.818
8,220,0.274,2665.7,2885,6.911
8,240,0.2869,2699.4,2928.9,6.999
8,260,0.2995,2732.4,2972,7.081
8,280,0.3119,2765.1,3014.6,7.159
8,300,0.3242,2797.6,3056.9,7.235
8,320,0.3363,2830,3099.1,7.307
8,340,0.3484,2862.4,3141.1,7.377
8,360,0.3604,2894.9,3183.2,7.444
8,380,0.3724,2927.4,3225.3,7.51
8,400,0.3843,2960.1,3267.6,7.573
8,420,0.3961,2993,3309.9,7.635
8,440,0.408,3026.1,3352.5,7.696
8,460,0.4198,3059.3,3395.2,7.755
8,480,0.4316,3092.8,3438.1,7.813
8,500,0.4433,3126.5,3481.2,7.869
8,520,0.4551,3160.4,3524.5,7.924
8,540,0.4668,3194.6,3568,7.979
8,560,0.4785,3229,3611.8,8.032
8,580,0.4902,3263.7,3655.8,8.084
8,600,0.5019,3298.6,3700.1,8.135
8,640,0.5252,3369.3,3789.4,8.235
8,680,0.5485,3441,3879.7,8.332
8,720,0.5717,3513.7,3971.1,8.426
8,760,0.595,3587.6,4063.5,8.517
8,800,0.6182,3662.5,4157,8.606
10,0.01,0.001,0.01827,1.018,0.00007
10,20,0.001001,83.86,84.86,0.2963
10,40,0.001007,167.4,168.4,0.572
10,60,0.001017,251,252,0.8307
10,80,0.001029,334.7,335.7,1.075
10,100,0.001043,418.7,419.8,1.306
10,120,0.00106,503.3,504.3,1.527
10,140,0.001079,588.5,589.6,1.739
10,160,0.001102,674.7,675.8,1.942
10,180,0.1944,2583,2777.4,6.586
10,200,0.206,2622.3,2828.3,6.695
10,220,0.217,2658.6,2875.6,6.793
10,240,0.2276,2693.4,2921,6.884
10,260,0.2379,2727.4,2965.2,6.968
10,280,0.248,2760.7,3008.7,7.048
10,300,0.258,2793.7,3051.7,7.125
10,320,0.2678,2826.5,3094.4,7.198
10,340,0.2776,2859.3,3136.9,7.268
10,360,0.2873,2892.1,3179.4,7.337
10,380,0.297,2924.9,3221.9,7.403
10,400,0.3066,2957.8,3264.4,7.467
10,420,0.3162,2990.8,3307,7.529
10,440,0.3257,3024.1,3349.8,7.59
10,460,0.3352,3057.5,3392.7,7.649
10,480,0.3447,3091.1,3435.7,7.707
10,500,0.3541,3124.9,3479,7.764
10,520,0.3635,3158.9,3522.5,7.819
10,540,0.373,3193.2,3566.2,7.874
10,560,0.3824,3227.7,3610.1,7.927
10,580,0.3917,3262.4,3654.2,7.98
10,600,0.4011,3297.4,3698.6,8.031
10,640,0.4198,3368.2,3788,8.131
10,680,0.4385,3440,3878.5,8.228
10,720,0.4572,3512.8,3970,8.322
10,760,0.4758,3586.8,4062.5,8.413
10,800,0.4944,3661.8,4156.1,8.502
20,0.01,0.000999,0.03601,2.034,0.00013
20,20,0.001001,83.8,85.8,0.2961
20,40,0.001007,167.3,169.3,0.5717
20,60,0.001016,250.8,252.8,0.8302
20,80,0.001028,334.4,336.5,1.074
20,100,0.001042,418.4,420.5,1.306
20,120,0.001059,502.9,505.1,1.526
20,140,0.001079,588.1,590.3,1.738
20,160,0.001101,674.2,676.4,1.941
20,180,0.001127,761.4,763.7,2.138
20,200,0.001156,850.3,852.6,2.33
20,220,0.1022,2617.3,2821.7,6.387
20,240,0.1085,2660.2,2877.2,6.497
20,260,0.1144,2699.7,2928.5,6.595
20,280,0.12,2737.1,2977.2,6.685
20,300,0.1255,2773.2,3024.3,6.769
20,320,0.1308,2808.5,3070.2,6.847
